Data, Hora, Temperatura Interna, Temperatura Externa, Temperatura Usuario, Valor Acionamento
7/3/2022, 11:42:14,0.00, 28.49, 25.00, 100
7/3/2022, 11:42:15,34.44, 28.49, 25.00, -100
7/3/2022, 11:42:16,34.50, 28.49, 25.00, -100
7/3/2022, 11:42:17,34.50, 28.49, 25.00, -100
7/3/2022, 11:42:19,34.44, 28.49, 25.00, -100
7/3/2022, 11:42:20,34.44, 28.48, 25.00, -100
7/3/2022, 11:42:21,34.25, 28.48, 25.00, -100
7/3/2022, 11:42:23,34.25, 28.48, 25.00, -100
7/3/2022, 11:42:24,34.06, 28.48, 25.00, -100
7/3/2022, 11:42:25,34.06, 28.48, 25.00, -100
7/3/2022, 11:42:27,33.94, 28.48, 25.00, -100
7/3/2022, 11:42:28,33.94, 28.48, 25.00, -100
7/3/2022, 11:42:29,33.81, 28.48, 25.00, -100
7/3/2022, 11:42:31,33.81, 28.48, 25.00, -100
7/3/2022, 11:42:32,33.62, 28.48, 25.00, -100
7/3/2022, 11:42:33,33.62, 28.48, 25.00, -100
7/3/2022, 11:42:34,33.62, 28.48, 25.00, -100
7/3/2022, 11:42:36,33.50, 28.47, 25.00, -100
7/3/2022, 11:42:37,33.50, 28.47, 25.00, -100
7/3/2022, 11:42:38,33.31, 28.47, 25.00, -100
7/3/2022, 11:42:40,33.19, 28.47, 25.00, -100
7/3/2022, 11:42:41,33.19, 28.47, 25.00, -100
7/3/2022, 11:42:42,33.06, 28.47, 25.00, -100
7/3/2022, 11:42:44,33.06, 28.47, 25.00, -100
7/3/2022, 11:42:45,32.94, 28.47, 25.00, -100
7/3/2022, 11:42:46,32.94, 28.47, 25.00, -100
7/3/2022, 11:42:47,32.81, 28.47, 25.00, -100
7/3/2022, 11:42:49,32.81, 28.47, 25.00, -100
7/3/2022, 11:42:50,32.69, 28.47, 25.00, -100
7/3/2022, 11:42:51,32.69, 28.47, 25.00, -100
7/3/2022, 11:42:53,32.56, 28.47, 25.00, -100
7/3/2022, 11:42:54,32.56, 28.46, 25.00, -100
7/3/2022, 11:42:55,32.38, 28.46, 25.00, -100
7/3/2022, 11:42:57,32.38, 28.46, 25.00, -100
7/3/2022, 11:42:58,32.31, 28.46, 25.00, -100
7/3/2022, 11:42:59,32.31, 28.46, 25.00, -100
7/3/2022, 11:43:1,32.19, 28.46, 25.00, -100
7/3/2022, 11:43:2,32.19, 28.46, 25.00, -100
7/3/2022, 11:43:3,32.12, 28.46, 25.00, -100
7/3/2022, 11:43:4,32.12, 28.46, 25.00, -100
7/3/2022, 11:43:6,32.06, 28.46, 25.00, -100
7/3/2022, 11:43:7,32.06, 28.46, 25.00, -100
7/3/2022, 11:43:8,32.00, 28.46, 25.00, -100
7/3/2022, 11:43:10,32.00, 28.46, 25.00, -100
7/3/2022, 11:43:11,31.88, 28.46, 25.00, -100
7/3/2022, 11:43:12,31.88, 28.46, 25.00, -100
7/3/2022, 11:43:14,31.75, 28.45, 25.00, -100
7/3/2022, 11:43:15,31.75, 28.45, 25.00, -100
7/3/2022, 11:43:16,31.69, 28.45, 25.00, -100
7/3/2022, 11:43:17,31.69, 28.45, 25.00, -100
7/3/2022, 11:43:19,31.62, 28.45, 25.00, -100
7/3/2022, 11:43:20,31.62, 28.45, 25.00, -100
7/3/2022, 11:43:21,31.56, 28.45, 25.00, -100
7/3/2022, 11:43:23,31.56, 28.45, 25.00, -100
7/3/2022, 11:43:24,31.50, 28.45, 25.00, -100
7/3/2022, 11:43:25,31.50, 28.45, 25.00, -100
7/3/2022, 11:43:27,31.44, 28.45, 25.00, -100
7/3/2022, 11:43:28,31.44, 28.45, 25.00, -100
7/3/2022, 11:43:29,31.31, 28.45, 25.00, -100
7/3/2022, 11:43:31,31.31, 28.45, 25.00, -100
7/3/2022, 11:43:32,31.31, 28.45, 38.00, 100
7/3/2022, 11:43:33,31.31, 28.45, 38.00, 100
7/3/2022, 11:43:34,31.25, 28.45, 38.00, 100
7/3/2022, 11:43:36,31.25, 28.45, 38.00, 100
7/3/2022, 11:43:37,31.31, 28.45, 38.00, 100
7/3/2022, 11:43:38,31.31, 28.45, 38.00, 100
7/3/2022, 11:43:40,31.44, 28.45, 38.00, 100
7/3/2022, 11:43:41,31.44, 28.45, 38.00, 100
7/3/2022, 11:43:42,31.62, 28.45, 38.00, 100
7/3/2022, 11:43:44,31.62, 28.45, 38.00, 100
7/3/2022, 11:43:45,31.94, 28.45, 38.00, 87
7/3/2022, 11:43:46,31.94, 28.45, 38.00, 100
7/3/2022, 11:43:47,32.19, 28.45, 38.00, 89
7/3/2022, 11:43:49,32.19, 28.45, 38.00, 100
7/3/2022, 11:43:50,32.50, 28.45, 38.00, 78
7/3/2022, 11:43:51,32.50, 28.45, 38.00, 100
7/3/2022, 11:43:53,32.88, 28.45, 38.00, 65
7/3/2022, 11:43:54,32.88, 28.45, 38.00, 100
7/3/2022, 11:43:55,33.31, 28.45, 38.00, 51
