Data, Hora, Temperatura Interna, Temperatura Externa, Temperatura Usuario, Valor Acionamento
7/3/2022,13:0:17,49.81, 28.28, 55.00, 100
7/3/2022,13:0:19,49.69, 28.28, 55.00, 100
7/3/2022,13:0:21,49.69, 28.28, 55.00, 100
7/3/2022,13:0:23,49.62, 28.28, 55.00, 100
7/3/2022,13:0:25,49.69, 28.29, 55.00, 100
7/3/2022,13:0:26,49.75, 28.29, 55.00, 100
7/3/2022,13:0:28,49.75, 28.29, 55.00, 100
7/3/2022,13:0:30,49.88, 28.30, 55.00, 93
7/3/2022,13:0:32,50.06, 28.30, 55.00, 83
7/3/2022,13:0:34,50.31, 28.30, 55.00, 72
7/3/2022,13:0:35,50.31, 28.30, 55.00, 98
7/3/2022,13:0:37,50.56, 28.30, 55.00, 68
7/3/2022,13:0:39,50.81, 28.31, 55.00, 64
7/3/2022,13:0:41,50.81, 28.31, 55.00, 89
7/3/2022,13:0:43,51.12, 28.31, 55.00, 52
7/3/2022,13:0:44,51.44, 28.31, 55.00, 46
7/3/2022,13:0:46,51.44, 28.31, 55.00, 78
7/3/2022,13:0:48,51.81, 28.32, 55.00, 33
7/3/2022,13:0:50,52.19, 28.32, 55.00, 26
7/3/2022,13:0:52,52.50, 28.32, 55.00, 26
7/3/2022,13:0:53,52.50, 28.32, 55.00, 58
7/3/2022,13:0:55,52.88, 28.32, 55.00, 13
7/3/2022,13:0:57,53.19, 28.32, 55.00, 13
7/3/2022,13:0:59,53.19, 28.32, 55.00, 44
7/3/2022,13:1:1,53.56, 28.32, 55.00, 0
7/3/2022,13:1:2,53.88, 28.33, 55.00, 0
7/3/2022,13:1:4,53.88, 28.33, 55.00, 31
7/3/2022,13:1:6,54.19, 28.33, 55.00, -40
7/3/2022,13:1:8,54.44, 28.33, 55.00, -40
7/3/2022,13:1:10,54.44, 28.33, 55.00, -40
7/3/2022,13:1:11,54.62, 28.33, 55.00, -40
7/3/2022,13:1:13,54.69, 28.33, 55.00, 9
7/3/2022,13:1:15,54.69, 28.33, 55.00, 15
7/3/2022,13:1:17,54.69, 28.34, 55.00, 15
7/3/2022,13:1:19,54.81, 28.34, 55.00, 0
7/3/2022,13:1:20,54.81, 28.34, 55.00, 0
