Data, Hora, Temperatura Interna, Temperatura Externa, Temperatura Usuario, Valor Acionamento
6/3/2022, 17:41:12,39.75, 28.40, 50.00, 100
6/3/2022, 17:41:13,39.75, 28.40, 50.00, 100
6/3/2022, 17:41:14,39.75, 28.40, 50.00, 100
6/3/2022, 17:41:15,0, 28.40, 50.00, 100
6/3/2022, 17:41:17,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:18,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:19,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:20,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:21,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:22,39.69, 28.40, 50.00, -100
6/3/2022, 17:41:24,39.69, 28.40, 50.00, -100
6/3/2022, 17:41:25,39.69, 28.40, 50.00, 100
6/3/2022, 17:41:26,0, 28.40, 50.00, 100
6/3/2022, 17:41:27,39.69, 28.41, 50.00, 100
6/3/2022, 17:41:28,0, 28.41, 50.00, 100
6/3/2022, 17:41:30,39.69, 28.41, 50.00, 100
6/3/2022, 17:41:31,39.69, 28.41, 50.00, 100
6/3/2022, 17:41:32,39.69, 28.41, 50.00, 100
6/3/2022, 17:41:33,39.69, 28.41, 50.00, 100
6/3/2022, 17:41:34,39.56, 28.41, 50.00, 100
6/3/2022, 17:41:35,39.56, 28.41, 50.00, -100
6/3/2022, 17:41:37,39.56, 28.41, 50.00, -100
6/3/2022, 17:41:38,39.56, 28.41, 50.00, 100
6/3/2022, 17:41:39,0, 28.41, 50.00, 100
6/3/2022, 17:41:40,39.50, 28.41, 50.00, 100
6/3/2022, 17:41:41,39.50, 28.41, 50.00, 100
6/3/2022, 17:41:42,39.50, 28.41, 50.00, 100
6/3/2022, 17:41:44,39.50, 28.41, 50.00, 100
6/3/2022, 17:41:45,39.50, 28.42, 50.00, 100
6/3/2022, 17:41:46,39.50, 28.42, 50.00, -100
6/3/2022, 17:41:47,39.44, 28.42, 50.00, -100
6/3/2022, 17:41:48,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:50,0, 28.42, 50.00, 100
6/3/2022, 17:41:51,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:52,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:53,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:54,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:55,39.44, 28.42, 50.00, 100
6/3/2022, 17:41:57,39.44, 28.42, 50.00, -100
6/3/2022, 17:41:58,39.44, 28.42, 50.00, -100
6/3/2022, 17:41:59,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:0,0, 28.42, 50.00, 100
6/3/2022, 17:42:1,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:3,0, 28.42, 50.00, 100
6/3/2022, 17:42:4,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:5,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:6,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:7,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:8,39.44, 28.42, 50.00, 100
6/3/2022, 17:42:10,39.44, 28.43, 50.00, -100
6/3/2022, 17:42:11,39.50, 28.43, 50.00, -100
